priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange,Timestamp
1,NIFTY 50,66.95,NIFTY 50,,,24317.15,400636260,24249.55,24342.95,24187.1,24250.2,335660224755.62,26373.2,22182.55,,2026-07-30 15:39:59,0,-2.16,1.89,29-Jul-2025,29-Jun-2026,7.795982285046942,-9.622879245172443,,,,0.28,2026-07-30 19:48:35
0,HDFCBANKEQN,5.2,HDFCBANK,EQ,N,753.4,35844392,752.8,757.9,745.5,748.2,26916270840.64,1020.5,726.65,11507952979097.49,2026-07-30 16:00:29,0,-25.62,-5.58,30-Jul-2025,30-Jun-2026,26.1734443900049,-3.6812770935113193,,,HDFC BANK LIMITED,0.7,2026-07-30 19:48:35
0,INFYEQN,-0.6,INFY,EQ,N,1155.0,22630218,1168.0,1187.7,1151.3,1155.6,26545698318.36,1728.0,982.4,4040155038730.84,2026-07-30 16:00:29,0,-23.96,15.45,30-Jul-2025,30-Jun-2026,33.15972222222222,-17.569218241042346,,,INFOSYS LIMITED,-0.05,2026-07-30 19:48:35
0,ICICIBANKEQN,-7.9,ICICIBANK,EQ,N,1430.0,14141173,1431.1,1442.2,1422.6,1437.9,20232907504.94,1494.5,1187.6,10218404351568.66,2026-07-30 16:00:29,0,-3.53,3.98,30-Jul-2025,30-Jun-2026,4.315824690531951,-20.410912765240823,,,ICICI BANK LIMITED,-0.55,2026-07-30 19:48:35
0,M&MEQN,72.8,M&M,EQ,N,3294.6,4851980,3220.0,3327.0,3197.5,3221.8,15866023119.8,3839.9,2896.0,2933123350768.73,2026-07-30 16:00:29,0,2.67,7.36,30-Jul-2025,30-Jun-2026,14.200890648193964,-13.763812154696133,,,MAHINDRA & MAHINDRA LIMITED,2.26,2026-07-30 19:48:35
0,RELIANCEEQN,13.5,RELIANCE,EQ,N,1289.4,12158451,1279.8,1297.0,1275.3,1275.9,15689386754.91,1611.8,1249.8,8686354311529.18,2026-07-30 16:00:29,0,-8.56,-0.35,30-Jul-2025,30-Jun-2026,20.002481697481077,-3.168506961113778,,,RELIANCE INDUSTRIES LIMITED,1.06,2026-07-30 19:48:35
0,TCSEQN,-12.6,TCS,EQ,N,2434.0,4901582,2440.0,2495.0,2423.0,2446.6,12055686008.1,3350.0,1976.8,2478110387443.66,2026-07-30 16:00:29,0,-20.29,19.81,30-Jul-2025,30-Jun-2026,27.34328358208955,-23.128288142452448,,,TATA CONSULTANCY SERVICES LIMITED,-0.52,2026-07-30 19:48:35
0,EICHERMOTEQN,130.0,EICHERMOT,EQ,N,7909.0,1496307,7869.5,7930.0,7730.0,7779.0,11742478665.48,8230.0,5353.0,1086933343021.75,2026-07-30 16:00:29,0,44.3,11.81,30-Jul-2025,30-Jun-2026,3.9003645200486026,-47.748925835979826,,,EICHER MOTORS LIMITED,1.67,2026-07-30 19:48:35
0,BHARTIARTLEQN,-3.6,BHARTIARTL,EQ,N,1946.6,5356472,1954.0,1963.2,1943.9,1950.2,10462475369.28,2174.5,1740.5,6044959384312.81,2026-07-30 16:00:29,0,0.72,5.11,30-Jul-2025,30-Jun-2026,10.48057024603357,-11.841424877908647,,,BHARTI AIRTEL LIMITED,-0.18,2026-07-30 19:48:35
0,BAJFINANCEEQN,3.6,BAJFINANCE,EQ,N,1058.0,9866564,1046.0,1068.0,1035.1,1054.4,10348150988.84,1102.5,787.9,2827745664588.37,2026-07-30 16:00:29,0,19.57,5.3,30-Jul-2025,30-Jun-2026,4.036281179138322,-34.28100012691966,,,BAJAJ FINANCE LIMITED,0.34,2026-07-30 19:48:35
